No.,Time,TCP Delta,Source,Destination,TCP Segment Len,Bytes in flight,Calculated window size,Info,Phase
1,0.000000,0.000000000,192.168.10.184,192.168.10.196,0,,65535,52343  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM=1 TSval=2027714706 TSecr=0,---
2,0.105354,0.105354000,192.168.10.196,192.168.10.184,0,,65535,"5201  >  52343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM=1",---
3,0.105449,0.000095000,192.168.10.184,192.168.10.196,0,,262144,52343  >  5201 [ACK] Seq=1 Ack=1 Win=262144 Len=0,---
4,0.105480,0.000031000,192.168.10.184,192.168.10.196,37,37,262144,"52343  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=262144 Len=37",---
5,0.268582,0.163102000,192.168.10.196,192.168.10.184,0,,212952,5201  >  52343 [ACK] Seq=1 Ack=38 Win=212952 Len=0,---
6,0.350994,0.082412000,192.168.10.184,192.168.10.196,1460,1460,262144,52343  >  5201 [ACK] Seq=38 Ack=1 Win=262144 Len=1460,---
7,0.350994,0.000000000,192.168.10.184,192.168.10.196,1460,2920,262144,52343  >  5201 [ACK] Seq=1498 Ack=1 Win=262144 Len=1460,---
8,0.350995,0.000001000,192.168.10.184,192.168.10.196,1460,4380,262144,52343  >  5201 [ACK] Seq=2958 Ack=1 Win=262144 Len=1460,---
9,0.350995,0.000000000,192.168.10.184,192.168.10.196,1460,5840,262144,52343  >  5201 [ACK] Seq=4418 Ack=1 Win=262144 Len=1460,---
10,0.351003,0.000008000,192.168.10.184,192.168.10.196,1460,7300,262144,52343  >  5201 [ACK] Seq=5878 Ack=1 Win=262144 Len=1460,---
11,0.351004,0.000001000,192.168.10.184,192.168.10.196,1460,8760,262144,52343  >  5201 [ACK] Seq=7338 Ack=1 Win=262144 Len=1460,---
12,0.351004,0.000000000,192.168.10.184,192.168.10.196,1460,10220,262144,52343  >  5201 [ACK] Seq=8798 Ack=1 Win=262144 Len=1460,---
13,0.351004,0.000000000,192.168.10.184,192.168.10.196,1460,11680,262144,52343  >  5201 [ACK] Seq=10258 Ack=1 Win=262144 Len=1460,---
14,0.460172,0.109168000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=11718 Win=212992 Len=0,---
15,0.460234,0.000062000,192.168.10.184,192.168.10.196,1460,1460,262144,52343  >  5201 [ACK] Seq=11718 Ack=1 Win=262144 Len=1460,---
16,0.460234,0.000000000,192.168.10.184,192.168.10.196,1460,2920,262144,52343  >  5201 [ACK] Seq=13178 Ack=1 Win=262144 Len=1460,---
17,0.460235,0.000001000,192.168.10.184,192.168.10.196,1460,4380,262144,52343  >  5201 [ACK] Seq=14638 Ack=1 Win=262144 Len=1460,---
18,0.460235,0.000000000,192.168.10.184,192.168.10.196,1460,5840,262144,52343  >  5201 [ACK] Seq=16098 Ack=1 Win=262144 Len=1460,---
19,0.460236,0.000001000,192.168.10.184,192.168.10.196,1460,7300,262144,52343  >  5201 [ACK] Seq=17558 Ack=1 Win=262144 Len=1460,---
20,0.460236,0.000000000,192.168.10.184,192.168.10.196,1460,8760,262144,52343  >  5201 [ACK] Seq=19018 Ack=1 Win=262144 Len=1460,---
21,0.460237,0.000001000,192.168.10.184,192.168.10.196,1460,10220,262144,52343  >  5201 [ACK] Seq=20478 Ack=1 Win=262144 Len=1460,---
22,0.460237,0.000000000,192.168.10.184,192.168.10.196,1460,11680,262144,52343  >  5201 [ACK] Seq=21938 Ack=1 Win=262144 Len=1460,---
23,0.460238,0.000001000,192.168.10.184,192.168.10.196,1460,13140,262144,52343  >  5201 [ACK] Seq=23398 Ack=1 Win=262144 Len=1460,---
24,0.460238,0.000000000,192.168.10.184,192.168.10.196,1460,14600,262144,52343  >  5201 [ACK] Seq=24858 Ack=1 Win=262144 Len=1460,---
25,0.592291,0.132053000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=26318 Win=212992 Len=0,---
26,0.592451,0.000160000,192.168.10.184,192.168.10.196,1460,1460,262144,52343  >  5201 [ACK] Seq=26318 Ack=1 Win=262144 Len=1460,---
27,0.592454,0.000003000,192.168.10.184,192.168.10.196,1460,2920,262144,52343  >  5201 [ACK] Seq=27778 Ack=1 Win=262144 Len=1460,---
28,0.592455,0.000001000,192.168.10.184,192.168.10.196,1460,4380,262144,52343  >  5201 [ACK] Seq=29238 Ack=1 Win=262144 Len=1460,---
29,0.592455,0.000000000,192.168.10.184,192.168.10.196,1460,5840,262144,52343  >  5201 [ACK] Seq=30698 Ack=1 Win=262144 Len=1460,---
30,0.592457,0.000002000,192.168.10.184,192.168.10.196,1460,7300,262144,52343  >  5201 [ACK] Seq=32158 Ack=1 Win=262144 Len=1460,---
31,0.592458,0.000001000,192.168.10.184,192.168.10.196,1460,8760,262144,52343  >  5201 [ACK] Seq=33618 Ack=1 Win=262144 Len=1460[Packet size limited during capture],---
32,0.592459,0.000001000,192.168.10.184,192.168.10.196,1460,10220,262144,52343  >  5201 [ACK] Seq=35078 Ack=1 Win=262144 Len=1460,---
33,0.592460,0.000001000,192.168.10.184,192.168.10.196,1460,11680,262144,52343  >  5201 [ACK] Seq=36538 Ack=1 Win=262144 Len=1460,---
34,0.592460,0.000000000,192.168.10.184,192.168.10.196,1460,13140,262144,52343  >  5201 [ACK] Seq=37998 Ack=1 Win=262144 Len=1460,---
