No.,Time,TCP Delta,Source,Destination,TCP Segment Len,Bytes in flight,Calculated window size,Info,Phase
35,0.592462,0.000002000,192.168.10.184,192.168.10.196,1460,14600,262144,52343  >  5201 [ACK] Seq=39458 Ack=1 Win=262144 Len=1460,---
36,0.592463,0.000001000,192.168.10.184,192.168.10.196,1460,16060,262144,52343  >  5201 [ACK] Seq=40918 Ack=1 Win=262144 Len=1460,---
37,0.592464,0.000001000,192.168.10.184,192.168.10.196,1460,17520,262144,52343  >  5201 [ACK] Seq=42378 Ack=1 Win=262144 Len=1460,---
38,0.714379,0.121915000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=43838 Win=212992 Len=0,---
39,0.714538,0.000159000,192.168.10.184,192.168.10.196,1460,1460,262144,52343  >  5201 [ACK] Seq=43838 Ack=1 Win=262144 Len=1460,---
40,0.714540,0.000002000,192.168.10.184,192.168.10.196,1460,2920,262144,52343  >  5201 [ACK] Seq=45298 Ack=1 Win=262144 Len=1460,---
41,0.714540,0.000000000,192.168.10.184,192.168.10.196,1460,4380,262144,52343  >  5201 [ACK] Seq=46758 Ack=1 Win=262144 Len=1460,---
42,0.714541,0.000001000,192.168.10.184,192.168.10.196,1460,5840,262144,52343  >  5201 [ACK] Seq=48218 Ack=1 Win=262144 Len=1460[Packet size limited during capture],---
43,0.714542,0.000001000,192.168.10.184,192.168.10.196,1460,7300,262144,52343  >  5201 [ACK] Seq=49678 Ack=1 Win=262144 Len=1460,---
44,0.714543,0.000001000,192.168.10.184,192.168.10.196,1460,8760,262144,52343  >  5201 [ACK] Seq=51138 Ack=1 Win=262144 Len=1460,---
45,0.714543,0.000000000,192.168.10.184,192.168.10.196,1460,10220,262144,52343  >  5201 [ACK] Seq=52598 Ack=1 Win=262144 Len=1460,---
46,0.714544,0.000001000,192.168.10.184,192.168.10.196,1460,11680,262144,52343  >  5201 [ACK] Seq=54058 Ack=1 Win=262144 Len=1460,---
47,0.714545,0.000001000,192.168.10.184,192.168.10.196,1460,13140,262144,52343  >  5201 [ACK] Seq=55518 Ack=1 Win=262144 Len=1460,---
48,0.714546,0.000001000,192.168.10.184,192.168.10.196,1460,14600,262144,52343  >  5201 [ACK] Seq=56978 Ack=1 Win=262144 Len=1460,---
49,0.714546,0.000000000,192.168.10.184,192.168.10.196,1460,16060,262144,52343  >  5201 [ACK] Seq=58438 Ack=1 Win=262144 Len=1460,---
50,0.714548,0.000002000,192.168.10.184,192.168.10.196,1460,17520,262144,52343  >  5201 [ACK] Seq=59898 Ack=1 Win=262144 Len=1460,---
51,0.714549,0.000001000,192.168.10.184,192.168.10.196,1460,18980,262144,52343  >  5201 [ACK] Seq=61358 Ack=1 Win=262144 Len=1460,---
52,0.714550,0.000001000,192.168.10.184,192.168.10.196,1460,20440,262144,52343  >  5201 [ACK] Seq=62818 Ack=1 Win=262144 Len=1460,---
53,0.836374,0.121824000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=64278 Win=212992 Len=0,---
54,0.836513,0.000139000,192.168.10.184,192.168.10.196,1460,1460,262144,52343  >  5201 [ACK] Seq=64278 Ack=1 Win=262144 Len=1460,---
55,0.836515,0.000002000,192.168.10.184,192.168.10.196,1460,2920,262144,52343  >  5201 [ACK] Seq=65738 Ack=1 Win=262144 Len=1460,---
56,0.836516,0.000001000,192.168.10.184,192.168.10.196,1460,4380,262144,52343  >  5201 [ACK] Seq=67198 Ack=1 Win=262144 Len=1460,---
57,0.836517,0.000001000,192.168.10.184,192.168.10.196,1460,5840,262144,52343  >  5201 [ACK] Seq=68658 Ack=1 Win=262144 Len=1460,---
58,0.836518,0.000001000,192.168.10.184,192.168.10.196,1460,7300,262144,52343  >  5201 [ACK] Seq=70118 Ack=1 Win=262144 Len=1460,---
59,0.836520,0.000002000,192.168.10.184,192.168.10.196,1460,8760,262144,52343  >  5201 [ACK] Seq=71578 Ack=1 Win=262144 Len=1460,---
60,0.836521,0.000001000,192.168.10.184,192.168.10.196,1460,10220,262144,52343  >  5201 [ACK] Seq=73038 Ack=1 Win=262144 Len=1460,---
61,0.836522,0.000001000,192.168.10.184,192.168.10.196,1460,11680,262144,52343  >  5201 [ACK] Seq=74498 Ack=1 Win=262144 Len=1460,---
62,0.836523,0.000001000,192.168.10.184,192.168.10.196,1460,13140,262144,52343  >  5201 [ACK] Seq=75958 Ack=1 Win=262144 Len=1460,---
63,0.836524,0.000001000,192.168.10.184,192.168.10.196,1460,14600,262144,52343  >  5201 [ACK] Seq=77418 Ack=1 Win=262144 Len=1460,---
64,0.836526,0.000002000,192.168.10.184,192.168.10.196,1460,16060,262144,52343  >  5201 [ACK] Seq=78878 Ack=1 Win=262144 Len=1460,---
65,0.836526,0.000000000,192.168.10.184,192.168.10.196,1460,17520,262144,52343  >  5201 [ACK] Seq=80338 Ack=1 Win=262144 Len=1460,---
66,0.836661,0.000135000,192.168.10.184,192.168.10.196,1460,18980,262144,52343  >  5201 [ACK] Seq=81798 Ack=1 Win=262144 Len=1460,---
67,0.836662,0.000001000,192.168.10.184,192.168.10.196,1460,20440,262144,52343  >  5201 [ACK] Seq=83258 Ack=1 Win=262144 Len=1460,---
68,0.836663,0.000001000,192.168.10.184,192.168.10.196,1460,21900,262144,52343  >  5201 [ACK] Seq=84718 Ack=1 Win=262144 Len=1460,---
69,0.836664,0.000001000,192.168.10.184,192.168.10.196,1460,23360,262144,52343  >  5201 [ACK] Seq=86178 Ack=1 Win=262144 Len=1460,---
70,0.958504,0.121840000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=67198 Win=212992 Len=0,---
71,0.958561,0.000057000,192.168.10.184,192.168.10.196,1460,21900,262144,52343  >  5201 [ACK] Seq=87638 Ack=1 Win=262144 Len=1460,---
72,0.958561,0.000000000,192.168.10.184,192.168.10.196,1460,23360,262144,52343  >  5201 [ACK] Seq=89098 Ack=1 Win=262144 Len=1460,---
73,0.958561,0.000000000,192.168.10.184,192.168.10.196,1460,24820,262144,52343  >  5201 [ACK] Seq=90558 Ack=1 Win=262144 Len=1460,---
74,0.958562,0.000001000,192.168.10.184,192.168.10.196,1460,26280,262144,52343  >  5201 [ACK] Seq=92018 Ack=1 Win=262144 Len=1460,---
75,0.960054,0.001492000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=80338 Win=212992 Len=0,---
76,0.960096,0.000042000,192.168.10.184,192.168.10.196,1460,14600,262144,52343  >  5201 [ACK] Seq=93478 Ack=1 Win=262144 Len=1460,---
77,0.960096,0.000000000,192.168.10.184,192.168.10.196,1460,16060,262144,52343  >  5201 [ACK] Seq=94938 Ack=1 Win=262144 Len=1460,---
78,0.960096,0.000000000,192.168.10.184,192.168.10.196,1460,17520,262144,52343  >  5201 [ACK] Seq=96398 Ack=1 Win=262144 Len=1460,---
79,0.960097,0.000001000,192.168.10.184,192.168.10.196,1460,18980,262144,52343  >  5201 [ACK] Seq=97858 Ack=1 Win=262144 Len=1460,---
80,0.960097,0.000000000,192.168.10.184,192.168.10.196,1460,20440,262144,52343  >  5201 [ACK] Seq=99318 Ack=1 Win=262144 Len=1460,---
81,0.960097,0.000000000,192.168.10.184,192.168.10.196,1460,21900,262144,52343  >  5201 [ACK] Seq=100778 Ack=1 Win=262144 Len=1460,---
82,0.960098,0.000001000,192.168.10.184,192.168.10.196,1460,23360,262144,52343  >  5201 [ACK] Seq=102238 Ack=1 Win=262144 Len=1460,---
83,0.960098,0.000000000,192.168.10.184,192.168.10.196,1460,24820,262144,52343  >  5201 [ACK] Seq=103698 Ack=1 Win=262144 Len=1460,---
84,0.960098,0.000000000,192.168.10.184,192.168.10.196,1460,26280,262144,52343  >  5201 [ACK] Seq=105158 Ack=1 Win=262144 Len=1460,---
85,0.960099,0.000001000,192.168.10.184,192.168.10.196,1460,27740,262144,52343  >  5201 [ACK] Seq=106618 Ack=1 Win=262144 Len=1460,---
86,0.960099,0.000000000,192.168.10.184,192.168.10.196,1460,29200,262144,52343  >  5201 [ACK] Seq=108078 Ack=1 Win=262144 Len=1460,---
87,0.961039,0.000940000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=86178 Win=212992 Len=0,---
88,0.961071,0.000032000,192.168.10.184,192.168.10.196,1460,24820,262144,52343  >  5201 [ACK] Seq=109538 Ack=1 Win=262144 Len=1460,---
89,0.961072,0.000001000,192.168.10.184,192.168.10.196,1460,26280,262144,52343  >  5201 [ACK] Seq=110998 Ack=1 Win=262144 Len=1460,---
90,0.961072,0.000000000,192.168.10.184,192.168.10.196,1460,27740,262144,52343  >  5201 [ACK] Seq=112458 Ack=1 Win=262144 Len=1460,---
91,0.961072,0.000000000,192.168.10.184,192.168.10.196,1460,29200,262144,52343  >  5201 [ACK] Seq=113918 Ack=1 Win=262144 Len=1460,---
92,0.961072,0.000000000,192.168.10.184,192.168.10.196,1460,30660,262144,52343  >  5201 [ACK] Seq=115378 Ack=1 Win=262144 Len=1460,---
93,0.961073,0.000001000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=116838 Ack=1 Win=262144 Len=1460,---
94,0.962944,0.001871000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=87638 Win=212992 Len=0,---
95,0.962972,0.000028000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=118298 Ack=1 Win=262144 Len=1460,---
96,0.962972,0.000000000,192.168.10.184,192.168.10.196,1460,33580,262144,52343  >  5201 [ACK] Seq=119758 Ack=1 Win=262144 Len=1460,---
97,1.073041,0.110069000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=93478 Win=212992 Len=0,---
98,1.073164,0.000123000,192.168.10.184,192.168.10.196,1460,29200,262144,52343  >  5201 [ACK] Seq=121218 Ack=1 Win=262144 Len=1460,---
99,1.073165,0.000001000,192.168.10.184,192.168.10.196,1460,30660,262144,52343  >  5201 [ACK] Seq=122678 Ack=1 Win=262144 Len=1460,---
100,1.073166,0.000001000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=124138 Ack=1 Win=262144 Len=1460,---
101,1.073167,0.000001000,192.168.10.184,192.168.10.196,1460,33580,262144,52343  >  5201 [ACK] Seq=125598 Ack=1 Win=262144 Len=1460,---
102,1.073168,0.000001000,192.168.10.184,192.168.10.196,1460,35040,262144,52343  >  5201 [ACK] Seq=127058 Ack=1 Win=262144 Len=1460,---
103,1.073169,0.000001000,192.168.10.184,192.168.10.196,1460,36500,262144,52343  >  5201 [ACK] Seq=128518 Ack=1 Win=262144 Len=1460,---
104,1.074699,0.001530000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=109538 Win=212992 Len=0,---
105,1.074839,0.000140000,192.168.10.184,192.168.10.196,1460,21900,262144,52343  >  5201 [ACK] Seq=129978 Ack=1 Win=262144 Len=1460,---
106,1.074840,0.000001000,192.168.10.184,192.168.10.196,1460,23360,262144,52343  >  5201 [ACK] Seq=131438 Ack=1 Win=262144 Len=1460,---
107,1.074841,0.000001000,192.168.10.184,192.168.10.196,1460,24820,262144,52343  >  5201 [ACK] Seq=132898 Ack=1 Win=262144 Len=1460,---
108,1.074842,0.000001000,192.168.10.184,192.168.10.196,1460,26280,262144,52343  >  5201 [ACK] Seq=134358 Ack=1 Win=262144 Len=1460,---
109,1.074843,0.000001000,192.168.10.184,192.168.10.196,1460,27740,262144,52343  >  5201 [ACK] Seq=135818 Ack=1 Win=262144 Len=1460,---
110,1.074844,0.000001000,192.168.10.184,192.168.10.196,1460,29200,262144,52343  >  5201 [ACK] Seq=137278 Ack=1 Win=262144 Len=1460,---
111,1.074845,0.000001000,192.168.10.184,192.168.10.196,1460,30660,262144,52343  >  5201 [ACK] Seq=138738 Ack=1 Win=262144 Len=1460,---
112,1.074846,0.000001000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=140198 Ack=1 Win=262144 Len=1460,---
113,1.074847,0.000001000,192.168.10.184,192.168.10.196,1460,33580,262144,52343  >  5201 [ACK] Seq=141658 Ack=1 Win=262144 Len=1460,---
114,1.074848,0.000001000,192.168.10.184,192.168.10.196,1460,35040,262144,52343  >  5201 [ACK] Seq=143118 Ack=1 Win=262144 Len=1460,---
115,1.074848,0.000000000,192.168.10.184,192.168.10.196,1460,36500,262144,52343  >  5201 [ACK] Seq=144578 Ack=1 Win=262144 Len=1460,---
116,1.074850,0.000002000,192.168.10.184,192.168.10.196,1460,37960,262144,52343  >  5201 [ACK] Seq=146038 Ack=1 Win=262144 Len=1460,---
117,1.074851,0.000001000,192.168.10.184,192.168.10.196,1460,39420,262144,52343  >  5201 [ACK] Seq=147498 Ack=1 Win=262144 Len=1460,---
118,1.076119,0.001268000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=118298 Win=212992 Len=0,---
119,1.076243,0.000124000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=148958 Ack=1 Win=262144 Len=1460,---
120,1.076245,0.000002000,192.168.10.184,192.168.10.196,1460,33580,262144,52343  >  5201 [ACK] Seq=150418 Ack=1 Win=262144 Len=1460,---
121,1.076246,0.000001000,192.168.10.184,192.168.10.196,1460,35040,262144,52343  >  5201 [ACK] Seq=151878 Ack=1 Win=262144 Len=1460,---
122,1.076247,0.000001000,192.168.10.184,192.168.10.196,1460,36500,262144,52343  >  5201 [ACK] Seq=153338 Ack=1 Win=262144 Len=1460,---
123,1.076248,0.000001000,192.168.10.184,192.168.10.196,1460,37960,262144,52343  >  5201 [ACK] Seq=154798 Ack=1 Win=262144 Len=1460,---
124,1.076248,0.000000000,192.168.10.184,192.168.10.196,1460,39420,262144,52343  >  5201 [ACK] Seq=156258 Ack=1 Win=262144 Len=1460,---
125,1.076249,0.000001000,192.168.10.184,192.168.10.196,1460,40880,262144,52343  >  5201 [ACK] Seq=157718 Ack=1 Win=262144 Len=1460,---
126,1.076250,0.000001000,192.168.10.184,192.168.10.196,1460,42340,262144,52343  >  5201 [ACK] Seq=159178 Ack=1 Win=262144 Len=1460,---
127,1.076762,0.000512000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=121218 Win=212992 Len=0,---
128,1.076873,0.000111000,192.168.10.184,192.168.10.196,1460,40880,262144,52343  >  5201 [ACK] Seq=160638 Ack=1 Win=262144 Len=1460,---
129,1.076875,0.000002000,192.168.10.184,192.168.10.196,1460,42340,262144,52343  >  5201 [ACK] Seq=162098 Ack=1 Win=262144 Len=1460,---
130,1.076876,0.000001000,192.168.10.184,192.168.10.196,1460,43800,262144,52343  >  5201 [ACK] Seq=163558 Ack=1 Win=262144 Len=1460,---
131,1.076877,0.000001000,192.168.10.184,192.168.10.196,1460,45260,262144,52343  >  5201 [ACK] Seq=165018 Ack=1 Win=262144 Len=1460,---
132,1.199130,0.122253000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=129978 Win=212992 Len=0,---
133,1.199261,0.000131000,192.168.10.184,192.168.10.196,1460,37960,262144,52343  >  5201 [ACK] Seq=166478 Ack=1 Win=262144 Len=1460,---
134,1.199262,0.000001000,192.168.10.184,192.168.10.196,1460,39420,262144,52343  >  5201 [ACK] Seq=167938 Ack=1 Win=262144 Len=1460,---
135,1.199262,0.000000000,192.168.10.184,192.168.10.196,1460,40880,262144,52343  >  5201 [ACK] Seq=169398 Ack=1 Win=262144 Len=1460,---
136,1.199263,0.000001000,192.168.10.184,192.168.10.196,1460,42340,262144,52343  >  5201 [ACK] Seq=170858 Ack=1 Win=262144 Len=1460,---
137,1.199264,0.000001000,192.168.10.184,192.168.10.196,1460,43800,262144,52343  >  5201 [ACK] Seq=172318 Ack=1 Win=262144 Len=1460,---
138,1.199264,0.000000000,192.168.10.184,192.168.10.196,1460,45260,262144,52343  >  5201 [ACK] Seq=173778 Ack=1 Win=262144 Len=1460,---
139,1.199265,0.000001000,192.168.10.184,192.168.10.196,1460,46720,262144,52343  >  5201 [ACK] Seq=175238 Ack=1 Win=262144 Len=1460,---
140,1.199266,0.000001000,192.168.10.184,192.168.10.196,1460,48180,262144,52343  >  5201 [ACK] Seq=176698 Ack=1 Win=262144 Len=1460,---
141,1.200582,0.001316000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=147498 Win=212992 Len=0,---
142,1.200727,0.000145000,192.168.10.184,192.168.10.196,1460,32120,262144,52343  >  5201 [ACK] Seq=178158 Ack=1 Win=262144 Len=1460,---
143,1.200728,0.000001000,192.168.10.184,192.168.10.196,1460,33580,262144,52343  >  5201 [ACK] Seq=179618 Ack=1 Win=262144 Len=1460,---
144,1.200729,0.000001000,192.168.10.184,192.168.10.196,1460,35040,262144,52343  >  5201 [ACK] Seq=181078 Ack=1 Win=262144 Len=1460,---
145,1.200730,0.000001000,192.168.10.184,192.168.10.196,1460,36500,262144,52343  >  5201 [ACK] Seq=182538 Ack=1 Win=262144 Len=1460,---
146,1.200730,0.000000000,192.168.10.184,192.168.10.196,1460,37960,262144,52343  >  5201 [ACK] Seq=183998 Ack=1 Win=262144 Len=1460,---
147,1.200731,0.000001000,192.168.10.184,192.168.10.196,1460,39420,262144,52343  >  5201 [ACK] Seq=185458 Ack=1 Win=262144 Len=1460,---
148,1.200732,0.000001000,192.168.10.184,192.168.10.196,1460,40880,262144,52343  >  5201 [ACK] Seq=186918 Ack=1 Win=262144 Len=1460,---
149,1.200732,0.000000000,192.168.10.184,192.168.10.196,1460,42340,262144,52343  >  5201 [ACK] Seq=188378 Ack=1 Win=262144 Len=1460,---
150,1.200733,0.000001000,192.168.10.184,192.168.10.196,1460,43800,262144,52343  >  5201 [ACK] Seq=189838 Ack=1 Win=262144 Len=1460,---
151,1.200734,0.000001000,192.168.10.184,192.168.10.196,1460,45260,262144,52343  >  5201 [ACK] Seq=191298 Ack=1 Win=262144 Len=1460,---
152,1.200734,0.000000000,192.168.10.184,192.168.10.196,1460,46720,262144,52343  >  5201 [ACK] Seq=192758 Ack=1 Win=262144 Len=1460,---
153,1.200735,0.000001000,192.168.10.184,192.168.10.196,1460,48180,262144,52343  >  5201 [ACK] Seq=194218 Ack=1 Win=262144 Len=1460,---
154,1.200736,0.000001000,192.168.10.184,192.168.10.196,1460,49640,262144,52343  >  5201 [ACK] Seq=195678 Ack=1 Win=262144 Len=1460,---
155,1.200736,0.000000000,192.168.10.184,192.168.10.196,1460,51100,262144,52343  >  5201 [ACK] Seq=197138 Ack=1 Win=262144 Len=1460,---
156,1.200851,0.000115000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=160638 Win=212992 Len=0,---
157,1.200951,0.000100000,192.168.10.184,192.168.10.196,1460,39420,262144,52343  >  5201 [ACK] Seq=198598 Ack=1 Win=262144 Len=1460,---
158,1.200953,0.000002000,192.168.10.184,192.168.10.196,1460,40880,262144,52343  >  5201 [ACK] Seq=200058 Ack=1 Win=262144 Len=1460,---
159,1.200954,0.000001000,192.168.10.184,192.168.10.196,1460,42340,262144,52343  >  5201 [ACK] Seq=201518 Ack=1 Win=262144 Len=1460,---
160,1.200955,0.000001000,192.168.10.184,192.168.10.196,1460,43800,262144,52343  >  5201 [ACK] Seq=202978 Ack=1 Win=262144 Len=1460,---
161,1.200955,0.000000000,192.168.10.184,192.168.10.196,1460,45260,262144,52343  >  5201 [ACK] Seq=204438 Ack=1 Win=262144 Len=1460,---
162,1.200956,0.000001000,192.168.10.184,192.168.10.196,1460,46720,262144,52343  >  5201 [ACK] Seq=205898 Ack=1 Win=262144 Len=1460,---
163,1.200957,0.000001000,192.168.10.184,192.168.10.196,1460,48180,262144,52343  >  5201 [ACK] Seq=207358 Ack=1 Win=262144 Len=1460,---
164,1.200958,0.000001000,192.168.10.184,192.168.10.196,1460,49640,262144,52343  >  5201 [ACK] Seq=208818 Ack=1 Win=262144 Len=1460,---
165,1.200959,0.000001000,192.168.10.184,192.168.10.196,1460,51100,262144,52343  >  5201 [ACK] Seq=210278 Ack=1 Win=262144 Len=1460,---
166,1.200960,0.000001000,192.168.10.184,192.168.10.196,1460,52560,262144,52343  >  5201 [ACK] Seq=211738 Ack=1 Win=262144 Len=1460,---
167,1.200962,0.000002000,192.168.10.184,192.168.10.196,1460,54020,262144,52343  >  5201 [ACK] Seq=213198 Ack=1 Win=262144 Len=1460,---
168,1.202914,0.001952000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=166478 Win=212992 Len=0,---
169,1.203036,0.000122000,192.168.10.184,192.168.10.196,1460,49640,262144,52343  >  5201 [ACK] Seq=214658 Ack=1 Win=262144 Len=1460,---
170,1.203037,0.000001000,192.168.10.184,192.168.10.196,1460,51100,262144,52343  >  5201 [ACK] Seq=216118 Ack=1 Win=262144 Len=1460,---
171,1.203038,0.000001000,192.168.10.184,192.168.10.196,1460,52560,262144,52343  >  5201 [ACK] Seq=217578 Ack=1 Win=262144 Len=1460,---
172,1.203039,0.000001000,192.168.10.184,192.168.10.196,1460,54020,262144,52343  >  5201 [ACK] Seq=219038 Ack=1 Win=262144 Len=1460,---
173,1.203039,0.000000000,192.168.10.184,192.168.10.196,1460,55480,262144,52343  >  5201 [ACK] Seq=220498 Ack=1 Win=262144 Len=1460,---
174,1.203041,0.000002000,192.168.10.184,192.168.10.196,1460,56940,262144,52343  >  5201 [ACK] Seq=221958 Ack=1 Win=262144 Len=1460,---
175,1.324091,0.121050000,192.168.10.196,192.168.10.184,0,,212992,5201  >  52343 [ACK] Seq=1 Ack=176698 Win=212992 Len=0,---
176,1.324219,0.000128000,192.168.10.184,192.168.10.196,1460,48180,262144,52343  >  5201 [ACK] Seq=223418 Ack=1 Win=262144 Len=1460,---
177,1.324221,0.000002000,192.168.10.184,192.168.10.196,1460,49640,262144,52343  >  5201 [ACK] Seq=224878 Ack=1 Win=262144 Len=1460,---
178,1.324222,0.000001000,192.168.10.184,192.168.10.196,1460,51100,262144,52343  >  5201 [ACK] Seq=226338 Ack=1 Win=262144 Len=1460,---
