"No.","Time","Source","Destination","Protocol","Length","Bytes in flight","Time since previous frame in this TCP stream","TCP Segment Len","Calculated window size","Info"
"70","0.958504","192.168.10.196","192.168.10.184","TCP","54","","0.121840000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=67198 Win=212992 Len=0"
"71","0.958561","192.168.10.184","192.168.10.196","TCP","1514","21900","0.000057000","1460","262144","52343  >  5201 [ACK] Seq=87638 Ack=1 Win=262144 Len=1460"
"72","0.958561","192.168.10.184","192.168.10.196","TCP","1514","23360","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=89098 Ack=1 Win=262144 Len=1460"
"73","0.958561","192.168.10.184","192.168.10.196","TCP","1514","24820","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=90558 Ack=1 Win=262144 Len=1460"
"74","0.958562","192.168.10.184","192.168.10.196","TCP","1514","26280","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=92018 Ack=1 Win=262144 Len=1460"
"75","0.960054","192.168.10.196","192.168.10.184","TCP","54","","0.001492000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=80338 Win=212992 Len=0"
"76","0.960096","192.168.10.184","192.168.10.196","TCP","1514","14600","0.000042000","1460","262144","52343  >  5201 [ACK] Seq=93478 Ack=1 Win=262144 Len=1460"
"77","0.960096","192.168.10.184","192.168.10.196","TCP","1514","16060","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=94938 Ack=1 Win=262144 Len=1460"
"78","0.960096","192.168.10.184","192.168.10.196","TCP","1514","17520","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=96398 Ack=1 Win=262144 Len=1460"
"79","0.960097","192.168.10.184","192.168.10.196","TCP","1514","18980","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=97858 Ack=1 Win=262144 Len=1460"
"80","0.960097","192.168.10.184","192.168.10.196","TCP","1514","20440","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=99318 Ack=1 Win=262144 Len=1460"
"81","0.960097","192.168.10.184","192.168.10.196","TCP","1514","21900","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=100778 Ack=1 Win=262144 Len=1460"
"82","0.960098","192.168.10.184","192.168.10.196","TCP","1514","23360","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=102238 Ack=1 Win=262144 Len=1460"
"83","0.960098","192.168.10.184","192.168.10.196","TCP","1514","24820","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=103698 Ack=1 Win=262144 Len=1460"
"84","0.960098","192.168.10.184","192.168.10.196","TCP","1514","26280","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=105158 Ack=1 Win=262144 Len=1460"
"85","0.960099","192.168.10.184","192.168.10.196","TCP","1514","27740","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=106618 Ack=1 Win=262144 Len=1460"
"86","0.960099","192.168.10.184","192.168.10.196","TCP","1514","29200","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=108078 Ack=1 Win=262144 Len=1460"
"87","0.961039","192.168.10.196","192.168.10.184","TCP","54","","0.000940000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=86178 Win=212992 Len=0"
"88","0.961071","192.168.10.184","192.168.10.196","TCP","1514","24820","0.000032000","1460","262144","52343  >  5201 [ACK] Seq=109538 Ack=1 Win=262144 Len=1460"
"89","0.961072","192.168.10.184","192.168.10.196","TCP","1514","26280","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=110998 Ack=1 Win=262144 Len=1460"
"90","0.961072","192.168.10.184","192.168.10.196","TCP","1514","27740","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=112458 Ack=1 Win=262144 Len=1460"
"91","0.961072","192.168.10.184","192.168.10.196","TCP","1514","29200","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=113918 Ack=1 Win=262144 Len=1460"
"92","0.961072","192.168.10.184","192.168.10.196","TCP","1514","30660","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=115378 Ack=1 Win=262144 Len=1460"
"93","0.961073","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=116838 Ack=1 Win=262144 Len=1460"
"94","0.962944","192.168.10.196","192.168.10.184","TCP","54","","0.001871000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=87638 Win=212992 Len=0"
"95","0.962972","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000028000","1460","262144","52343  >  5201 [ACK] Seq=118298 Ack=1 Win=262144 Len=1460"
"96","0.962972","192.168.10.184","192.168.10.196","TCP","1514","33580","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=119758 Ack=1 Win=262144 Len=1460"
"97","1.073041","192.168.10.196","192.168.10.184","TCP","54","","0.110069000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=93478 Win=212992 Len=0"
"98","1.073164","192.168.10.184","192.168.10.196","TCP","1514","29200","0.000123000","1460","262144","52343  >  5201 [ACK] Seq=121218 Ack=1 Win=262144 Len=1460"
"99","1.073165","192.168.10.184","192.168.10.196","TCP","1514","30660","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=122678 Ack=1 Win=262144 Len=1460"
"100","1.073166","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=124138 Ack=1 Win=262144 Len=1460"
"101","1.073167","192.168.10.184","192.168.10.196","TCP","1514","33580","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=125598 Ack=1 Win=262144 Len=1460"
"102","1.073168","192.168.10.184","192.168.10.196","TCP","1514","35040","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=127058 Ack=1 Win=262144 Len=1460"
"103","1.073169","192.168.10.184","192.168.10.196","TCP","1514","36500","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=128518 Ack=1 Win=262144 Len=1460"
"104","1.074699","192.168.10.196","192.168.10.184","TCP","54","","0.001530000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=109538 Win=212992 Len=0"
"105","1.074839","192.168.10.184","192.168.10.196","TCP","1514","21900","0.000140000","1460","262144","52343  >  5201 [ACK] Seq=129978 Ack=1 Win=262144 Len=1460"
"106","1.074840","192.168.10.184","192.168.10.196","TCP","1514","23360","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=131438 Ack=1 Win=262144 Len=1460"
"107","1.074841","192.168.10.184","192.168.10.196","TCP","1514","24820","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=132898 Ack=1 Win=262144 Len=1460"
"108","1.074842","192.168.10.184","192.168.10.196","TCP","1514","26280","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=134358 Ack=1 Win=262144 Len=1460"
"109","1.074843","192.168.10.184","192.168.10.196","TCP","1514","27740","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=135818 Ack=1 Win=262144 Len=1460"
"110","1.074844","192.168.10.184","192.168.10.196","TCP","1514","29200","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=137278 Ack=1 Win=262144 Len=1460"
"111","1.074845","192.168.10.184","192.168.10.196","TCP","1514","30660","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=138738 Ack=1 Win=262144 Len=1460"
"112","1.074846","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=140198 Ack=1 Win=262144 Len=1460"
"113","1.074847","192.168.10.184","192.168.10.196","TCP","1514","33580","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=141658 Ack=1 Win=262144 Len=1460"
"114","1.074848","192.168.10.184","192.168.10.196","TCP","1514","35040","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=143118 Ack=1 Win=262144 Len=1460"
"115","1.074848","192.168.10.184","192.168.10.196","TCP","1514","36500","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=144578 Ack=1 Win=262144 Len=1460"
"116","1.074850","192.168.10.184","192.168.10.196","TCP","1514","37960","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=146038 Ack=1 Win=262144 Len=1460"
"117","1.074851","192.168.10.184","192.168.10.196","TCP","1514","39420","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=147498 Ack=1 Win=262144 Len=1460"
"118","1.076119","192.168.10.196","192.168.10.184","TCP","54","","0.001268000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=118298 Win=212992 Len=0"
"119","1.076243","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000124000","1460","262144","52343  >  5201 [ACK] Seq=148958 Ack=1 Win=262144 Len=1460"
"120","1.076245","192.168.10.184","192.168.10.196","TCP","1514","33580","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=150418 Ack=1 Win=262144 Len=1460"
"121","1.076246","192.168.10.184","192.168.10.196","TCP","1514","35040","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=151878 Ack=1 Win=262144 Len=1460"
"122","1.076247","192.168.10.184","192.168.10.196","TCP","1514","36500","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=153338 Ack=1 Win=262144 Len=1460"
"123","1.076248","192.168.10.184","192.168.10.196","TCP","1514","37960","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=154798 Ack=1 Win=262144 Len=1460"
"124","1.076248","192.168.10.184","192.168.10.196","TCP","1514","39420","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=156258 Ack=1 Win=262144 Len=1460"
"125","1.076249","192.168.10.184","192.168.10.196","TCP","1514","40880","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=157718 Ack=1 Win=262144 Len=1460"
"126","1.076250","192.168.10.184","192.168.10.196","TCP","1514","42340","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=159178 Ack=1 Win=262144 Len=1460"
"127","1.076762","192.168.10.196","192.168.10.184","TCP","54","","0.000512000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=121218 Win=212992 Len=0"
"128","1.076873","192.168.10.184","192.168.10.196","TCP","1514","40880","0.000111000","1460","262144","52343  >  5201 [ACK] Seq=160638 Ack=1 Win=262144 Len=1460"
"129","1.076875","192.168.10.184","192.168.10.196","TCP","1514","42340","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=162098 Ack=1 Win=262144 Len=1460"
"130","1.076876","192.168.10.184","192.168.10.196","TCP","1514","43800","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=163558 Ack=1 Win=262144 Len=1460"
"131","1.076877","192.168.10.184","192.168.10.196","TCP","1514","45260","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=165018 Ack=1 Win=262144 Len=1460"
"132","1.199130","192.168.10.196","192.168.10.184","TCP","54","","0.122253000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=129978 Win=212992 Len=0"
"133","1.199261","192.168.10.184","192.168.10.196","TCP","1514","37960","0.000131000","1460","262144","52343  >  5201 [ACK] Seq=166478 Ack=1 Win=262144 Len=1460"
"134","1.199262","192.168.10.184","192.168.10.196","TCP","1514","39420","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=167938 Ack=1 Win=262144 Len=1460"
"135","1.199262","192.168.10.184","192.168.10.196","TCP","1514","40880","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=169398 Ack=1 Win=262144 Len=1460"
"136","1.199263","192.168.10.184","192.168.10.196","TCP","1514","42340","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=170858 Ack=1 Win=262144 Len=1460"
"137","1.199264","192.168.10.184","192.168.10.196","TCP","1514","43800","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=172318 Ack=1 Win=262144 Len=1460"
"138","1.199264","192.168.10.184","192.168.10.196","TCP","1514","45260","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=173778 Ack=1 Win=262144 Len=1460"
"139","1.199265","192.168.10.184","192.168.10.196","TCP","1514","46720","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=175238 Ack=1 Win=262144 Len=1460"
"140","1.199266","192.168.10.184","192.168.10.196","TCP","1514","48180","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=176698 Ack=1 Win=262144 Len=1460"
"141","1.200582","192.168.10.196","192.168.10.184","TCP","54","","0.001316000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=147498 Win=212992 Len=0"
"142","1.200727","192.168.10.184","192.168.10.196","TCP","1514","32120","0.000145000","1460","262144","52343  >  5201 [ACK] Seq=178158 Ack=1 Win=262144 Len=1460"
"143","1.200728","192.168.10.184","192.168.10.196","TCP","1514","33580","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=179618 Ack=1 Win=262144 Len=1460"
"144","1.200729","192.168.10.184","192.168.10.196","TCP","1514","35040","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=181078 Ack=1 Win=262144 Len=1460"
"145","1.200730","192.168.10.184","192.168.10.196","TCP","1514","36500","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=182538 Ack=1 Win=262144 Len=1460"
"146","1.200730","192.168.10.184","192.168.10.196","TCP","1514","37960","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=183998 Ack=1 Win=262144 Len=1460"
"147","1.200731","192.168.10.184","192.168.10.196","TCP","1514","39420","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=185458 Ack=1 Win=262144 Len=1460"
"148","1.200732","192.168.10.184","192.168.10.196","TCP","1514","40880","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=186918 Ack=1 Win=262144 Len=1460"
"149","1.200732","192.168.10.184","192.168.10.196","TCP","1514","42340","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=188378 Ack=1 Win=262144 Len=1460"
"150","1.200733","192.168.10.184","192.168.10.196","TCP","1514","43800","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=189838 Ack=1 Win=262144 Len=1460"
"151","1.200734","192.168.10.184","192.168.10.196","TCP","1514","45260","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=191298 Ack=1 Win=262144 Len=1460"
"152","1.200734","192.168.10.184","192.168.10.196","TCP","1514","46720","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=192758 Ack=1 Win=262144 Len=1460"
"153","1.200735","192.168.10.184","192.168.10.196","TCP","1514","48180","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=194218 Ack=1 Win=262144 Len=1460"
"154","1.200736","192.168.10.184","192.168.10.196","TCP","1514","49640","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=195678 Ack=1 Win=262144 Len=1460"
"155","1.200736","192.168.10.184","192.168.10.196","TCP","1514","51100","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=197138 Ack=1 Win=262144 Len=1460"
"156","1.200851","192.168.10.196","192.168.10.184","TCP","54","","0.000115000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=160638 Win=212992 Len=0"
"157","1.200951","192.168.10.184","192.168.10.196","TCP","1514","39420","0.000100000","1460","262144","52343  >  5201 [ACK] Seq=198598 Ack=1 Win=262144 Len=1460"
"158","1.200953","192.168.10.184","192.168.10.196","TCP","1514","40880","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=200058 Ack=1 Win=262144 Len=1460"
"159","1.200954","192.168.10.184","192.168.10.196","TCP","1514","42340","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=201518 Ack=1 Win=262144 Len=1460"
"160","1.200955","192.168.10.184","192.168.10.196","TCP","1514","43800","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=202978 Ack=1 Win=262144 Len=1460"
"161","1.200955","192.168.10.184","192.168.10.196","TCP","1514","45260","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=204438 Ack=1 Win=262144 Len=1460"
"162","1.200956","192.168.10.184","192.168.10.196","TCP","1514","46720","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=205898 Ack=1 Win=262144 Len=1460"
"163","1.200957","192.168.10.184","192.168.10.196","TCP","1514","48180","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=207358 Ack=1 Win=262144 Len=1460"
